Seq,B
2012126,7
2012127,8
2012128,5
2012129,1
2012130,3
2012131,12
2012132,10
2012133,2
2012134,15
2012135,16
2012136,11
2012137,7
2012138,14
2012139,15
2012140,15
2012141,9
2012142,6
2012143,6
2012144,4
2012145,3
2012146,13
2012147,9
2012148,7
2012149,13
2012150,7
2012151,1
2012152,7
2012153,10
2012154,4
2013001,6
2013002,12
2013003,9
2013004,8
2013005,12
2013006,13
2013007,1
2013008,15
2013009,2
2013010,12
2013011,9
2013012,2
2013013,9
2013014,8
2013015,15
2013016,5
2013017,9
2013018,5
2013019,6
2013020,1
2013021,11
2013022,7
2013023,5
2013024,9
2013025,8
2013026,11
2013027,12
2013028,13
2013029,12
2013030,6
2013031,3
2013032,3
2013033,1
2013034,9
2013035,2
2013036,13
2013037,14
2013038,11
2013039,6
2013040,10
2013041,5
2013042,3
2013043,16
2013044,6
2013045,12
2013046,6
2013047,12
2013048,4
2013049,14
2013050,3
2013051,2
2013052,13
2013053,14
2013054,14
2013055,6
2013056,16
2013057,5
2013058,5
2013059,9
2013060,15
2013061,12
2013062,2
2013063,12
2013064,12
2013065,2
2013066,7
2013067,6
2013068,6
2013069,6
2013070,6
2013071,9
2013072,9
2013073,11
2013074,3
2013075,14
2013076,3
2013077,3
2013078,15
2013079,13
2013080,16
2013081,13
2013082,6
2013083,9
2013084,3
2013085,16
2013086,11
2013087,5
2013088,14
2013089,13
2013090,8
2013091,10
2013092,6
2013093,14
2013094,7
2013095,10
2013096,15
2013097,7
2013098,14
2013099,3
2013100,11
2013101,1
2013102,3
2013103,7
2013104,11
2013105,9
2013106,6
2013107,11
2013108,5
2013109,8
2013110,13
2013111,13
2013112,7
2013113,9
2013114,7
2013115,8
2013116,7
2013117,16
2013118,16
2013119,9
2013120,11
2013121,7
2013122,11
2013123,2
2013124,7
2013125,16
2013126,16
2013127,14
2013128,8
2013129,14
2013130,8
2013131,9
2013132,12
2013133,1
2013134,10
2013135,12
2013136,6
2013137,10
2013138,3
2013139,8
2013140,10
2013141,4
2013142,14
2013143,11
2013144,2
2013145,15
2013146,1
2013147,8
2013148,1
2013149,11
2013150,10
2013151,9
2013152,5
2013153,10
2013154,5
2014001,1
2014002,4
2014003,12
2014004,15
2014005,4
2014006,14
2014007,14
2014008,12
2014009,16
2014010,11
2014011,2
2014012,8
2014013,13
2014014,15
2014015,9
2014016,8
2014017,10
2014018,15
2014019,7
2014020,15
2014021,12
2014022,16
2014023,10
2014024,9
2014025,16
2014026,14
2014027,1
2014028,5
2014029,14
2014030,10
2014031,14
2014032,7
2014033,12
2014034,6
2014035,6
2014036,3
2014037,7
2014038,16
2014039,7
2014040,8
2014041,2
2014042,14
2014043,9
2014044,12
2014045,15
2014046,10
2014047,15
2014048,16
2014049,6
2014050,13
2014051,13
2014052,8
2014053,2
2014054,14
2014055,4
2014056,1
2014057,8
2014058,11
2014059,13
2014060,6
2014061,8
2014062,9
2014063,16
2014064,14
2014065,6
2014066,16
2014067,6
2014068,16
2014069,11
2014070,7
2014071,14
2014072,16
2014073,2
2014074,12
2014075,6
2014076,11
2014077,10
2014078,7
2014079,2
2014080,7
2014081,10
2014082,11
2014083,12
2014084,8
2014085,8
2014086,8
2014087,6
2014088,15
2014089,9
2014090,13
2014091,14
2014092,7
2014093,5
2014094,1
2014095,8
2014096,8
2014097,15
